gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	-log10(padj)	DE_status	is_translocated
ENSG00000151224.13	60.5939332754504	-2.83053479301524	0.360385032378271	6.28217975551573e-16	2.19263231024309e-15	MAT1A	14.6590341904934	Down	True
ENSG00000188191.16	1647.65082783151	-2.82579656497019	0.099345766213789	1.2244505486004799e-178	5.1688655035809595e-177	PRKAR1B	176.286604768241	Down	True
ENSG00000170049.10	31.7890544436484	-2.79351519995865	0.48654238507045	2.04919372542942e-09	5.562902067682e-09	KCNAB3	8.254698585545363	Down	True
ENSG00000148516.23	260.539511932313	-2.79090941920863	0.174426143999883	2.6313662621501303e-58	2.3454065612123898e-57	ZEB1	56.629781864255165	Down	True
ENSG00000089685.15	7294.73692579987	-2.76751804080432	0.0625376326582801	0.0	1e-300	BIRC5	300.0	Down	True
ENSG00000152284.5	64.744802315988	-2.75953154670986	0.357616235925365	2.9598586746289504e-15	1.0116079813318e-14	TCF7L1	13.994987752840203	Down	True
ENSG00000163637.13	544.879542054048	-2.75197045458011	0.134408582258896	6.807101518456201e-94	1.0347796692480499e-92	PRICKLE2	91.98515211263826	Down	True
ENSG00000168306.13	364.207616567309	-2.74934476791369	0.155858441532567	2.49905031842982e-70	2.70782117279865e-69	ACOX2	68.56738002027906	Down	True
ENSG00000066468.24	173.544124525965	-2.74401463860734	0.187631038769616	4.2070040937091195e-49	3.20514156230218e-48	FGFR2	47.49415278412677	Down	True
ENSG00000180592.17	28.8821363823433	-2.73727279181027	0.489136868994711	4.65995436489949e-09	1.23939833213763e-08	SKIDA1	7.906789092617445	Down	True
ENSG00000115163.15	1339.72809005967	-2.7316495092608	0.0845032560090182	4.30211734811837e-230	2.77572122423626e-228	CENPA	227.55662415379913	Down	True
ENSG00000106078.19	634.122005297782	-2.7168317098492	0.13416797843465	5.8333020412482e-92	8.61379211045435e-91	COBL	90.0648056139261	Down	True
ENSG00000288558.3	759.839684960664	-2.71630067695534	0.157363040829752	1.32207679832583e-67	1.37669354272251e-66	DUS4L-BCAP29	65.8611627246065	Down	True
ENSG00000108379.11	81.1985876428633	-2.71020875266715	0.309056554700231	4.4184373061839e-19	1.7165092312819498e-18	WNT3	17.765353856622717	Down	True
ENSG00000108381.11	6.31665711441911	-2.70743077089873	1.22413907144932	0.0049931739882122	0.0086956502144229	ASPA	2.0606979382181345	Down	True
ENSG00000105996.7	82.6522022810729	-2.70198185987177	0.286746829389466	9.88036612044743e-22	4.14162043118275e-21	HOXA2	20.382829705586555	Down	True
ENSG00000178372.8	2.02946984636408	-2.68588188036169	3.22374640651344	0.0141567055233165	0.0232139306238296	CALML5	1.6342513178072766	Down	True
ENSG00000142279.13	191.839712048719	-2.68182653415331	0.196271326217065	3.9617385925602896e-43	2.6890330297560297e-42	WTIP	41.570403863246135	Down	True
