gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	-log10(padj)	DE_status	is_translocated
ENSG00000086289.13	1245.27370931188	14.474472368757	2.91620363398369	9.73322884705662e-30	4.94632715026858e-29	EPDR1	28.30571716277098	Up	True
ENSG00000225968.8	94.3660755947755	12.1620306699754	3.12629268123812	5.23922464915594e-20	2.0908105958000402e-19	ELFN1	18.67968530765319	Up	True
ENSG00000231274.5	30.6136177072295	10.1809889191261	2.82585044627588	3.25846369199577e-14	1.07672004814369e-13	SBK3	12.967897200463288	Up	True
ENSG00000075073.16	38.3099664900735	10.1428062626188	2.71668206140297	1.15627330646668e-14	3.8817624631433504e-14	TACR2	13.410971043935392	Up	True
ENSG00000180347.15	19.3777502475118	9.40306577632818	2.76255179889187	4.48539386708923e-12	1.36460522592717e-11	ITPRID1	10.864992969867641	Up	True
ENSG00000115828.17	140.809548944804	9.1878996470184	1.2730695237915	1.1390359853596101e-15	3.94158864292277e-15	QPCT	14.404328702083633	Up	True
ENSG00000105388.17	15.8545176042521	9.02942001829934	2.721877093009	4.30251252298905e-11	1.2554845420738002e-10	CEACAM5	9.901188630090349	Up	True
ENSG00000153993.14	43.7284290417365	8.88711814015133	2.58122412577089	8.0920379320432e-12	2.43382695635854e-11	SEMA3D	10.613710303086307	Up	True
ENSG00000105852.11	40.340220739189	8.8505853486736	2.57990706576853	1.0072062485972699e-11	3.01537847507154e-11	PON3	10.52065816965343	Up	True
ENSG00000121797.10	14.5486046838399	8.80757701044932	2.68519627224513	1.3947652752565801e-10	3.98396606292947e-10	CCRL2	9.399684369732585	Up	True
ENSG00000136059.16	334.585813268895	8.75267897995496	0.514201575859506	9.14557085065878e-64	8.91055596693743e-63	VILL	62.050095197664554	Up	True
ENSG00000261857.7	703.649394905866	8.64831351913346	0.700224122827161	1.44103888965961e-33	7.99399956596469e-33	MIA	32.09723587965599	Up	True
ENSG00000214447.5	10.8307649481674	8.47633072537286	2.80229855782804	2.9629266514270603e-09	7.969093697366171e-09	FAM187A	8.098591066886648	Up	True
ENSG00000131771.14	134.708277019628	8.43358670240397	0.7140944664462	4.935325638439599e-31	2.57610159904853e-30	PPP1R1B	29.58903701280445	Up	True
ENSG00000108244.17	685.660426250268	8.40048494174587	0.316948154647695	7.758400785003111e-154	2.48170479194656e-152	KRT23	151.6052498807155	Up	True
ENSG00000268975.2	25.6337475900593	8.27235771551167	2.55184903581919	3.83680483521091e-10	1.07524277656065e-09	MIA-RAB4B	8.968493466337588	Up	True
ENSG00000105550.10	8.08416757386616	7.94033365323203	2.77209442914109	4.92918110197262e-08	1.24247094347281e-07	FGF21	6.905713758922176	Up	True
ENSG00000154016.14	59.1720760043878	7.7160468102974	1.27532146520507	1.7184845533463002e-11	5.1017650576533096e-11	GRAP	10.292279545042986	Up	True
ENSG00000105357.20	44.5606951435173	7.71162211404693	0.987257988877207	3.9510177587376704e-14	1.30196698082837e-13	MYH14	12.885400029766194	Up	True
ENSG00000172987.13	6.78231906487466	7.60255405661868	2.75230188660677	2.40881753794185e-07	5.85097915552913e-07	HPSE2	6.232771449087163	Up	True
