gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	-log10(padj)	DE_status	is_translocated
ENSG00000170837.3	86.3959157044475	-10.9310664827937	3.0394403144482	1.86218152627327e-16	6.6319593293386e-16	GPR27	15.178358145771712	Down	True
ENSG00000168917.9	352.082598940493	-10.6795689626714	1.30672112326958	3.08723131362003e-20	1.24007977296824e-19	SLC35G2	18.906550376252643	Down	True
ENSG00000078081.8	26.5288311769121	-8.90297697458966	2.8291835387794	5.2292273371936594e-11	1.51984875934227e-10	LAMP3	9.818199626694076	Down	True
ENSG00000179593.16	1334.45299581892	-8.41497780423411	0.454379734143757	3.62375064017866e-75	4.21613733550704e-74	ALOX15B	73.37508525095456	Down	True
ENSG00000108947.5	53.4464747506824	-7.50293493127355	1.2879507563928	5.94183672516545e-11	1.72211656285391e-10	EFNB3	9.763937456313842	Down	True
ENSG00000187824.9	9.92448479102917	-7.15454613195082	2.6577221382371	2.30163664440035e-07	5.59722345336506e-07	TMEM220	6.252027354764475	Down	True
ENSG00000129194.8	726.552648416221	-5.9209313061821	0.200705429085688	2.00807268288943e-191	9.34535629120939e-190	SOX15	189.02940413651558	Down	True
ENSG00000007174.18	5.22687887164987	-5.65550091063039	2.60668091044059	7.88265132718677e-05	0.0001624085043016	DNAH9	3.789391233256442	Down	True
ENSG00000158186.13	182.394389362643	-5.39893796908357	0.412692321574571	5.2450587692936e-39	3.2671566020139e-38	MRAS	37.48583004833433	Down	True
ENSG00000183688.4	24.0113402306041	-5.26025925249741	0.864887943033818	9.44890664677478e-10	2.6049298234389704e-09	RFLNB	8.58420397205879	Down	True
ENSG00000163618.18	4.45241197825692	-5.17374749863555	2.51659101721304	0.0001608719131837	0.000323667790602	CADPS	3.489900516722886	Down	True
ENSG00000174640.15	111.444155809009	-4.96589908256084	0.487305463411995	1.62448848904775e-24	7.312935198169181e-24	SLCO2A1	23.135908274955657	Down	True
ENSG00000183770.7	3.65818165625336	-4.94653746476239	2.65466389387774	0.0005955611420525	0.0011386302800872	FOXL2	2.943617270990023	Down	True
ENSG00000177494.6	1520.78276481952	-4.904225407307	0.130151645013835	0.0	1e-300	ZBED2	300.0	Down	True
ENSG00000163864.18	19.7833396145404	-4.88207844110435	0.91556130377293	4.09104663890447e-08	1.03545926909796e-07	NMNAT3	6.984866979874253	Down	True
ENSG00000114805.18	40.5536369239613	-4.52703207587559	0.631474736044284	4.10625689324605e-13	1.29938972136702e-12	PLCH1	11.886260572980255	Down	True
ENSG00000144857.15	39.6759189614287	-4.422440819029	0.839519609933662	9.9562365742565e-08	2.46421195333413e-07	BOC	6.608321940093415	Down	True
ENSG00000175040.6	120.34898211117	-4.2386703830881	0.301918682935303	2.35756321922534e-45	1.6779259878353701e-44	CHST2	43.77522719951661	Down	True
ENSG00000168386.19	6.14429054867345	-4.23260044891115	1.44209226166497	0.0002387918127559	0.0004733526105875	FILIP1L	3.3248152233620276	Down	True
ENSG00000163661.4	151.770632296699	-4.04432158811193	0.301661492292094	1.55841071819666e-41	1.02767322360523e-40	PTX3	39.988144959023494	Down	True
