condition,translocation,level,category,n_bins,k_bins,fraction,expected_fraction,p_value,log2_odds_ratio	
C1,Der(3)t(3	17),direction,retained,1538,1124,0.7308192457737321,0.8389181426519866,8.010464826207788e-27,-0.9397894372179174
C1,Der(3)t(3	17),direction,A_to_B,1538,353,0.229518855656697,0.0938726663475347,1.2513096642291514e-55,1.5237760122392359
C1,Der(3)t(3	17),direction,B_to_A,1538,61,0.03966189856957087,0.0672091910004787,5.362972754579631e-06,-0.8029135392978021
C1,t(6	19),subcompartment,retained,1881,1010,0.5369484316852738,0.4379607467687889,7.841711279893946e-18,0.5734792636404965
C1,t(6	19),subcompartment,other,1881,676,0.3593833067517278,0.5620392532312111,9.67063169194467e-70,-1.1938065887263922
C1,t(6	19),subcompartment,adopted,1881,195,0.10366826156299841,0.0,0.0,16.819511511368766
C1,t(6	19),collapsed,retained,1881,1615,0.8585858585858586,0.8389181426519866,0.020254882138294596,0.22130721181145743
C1,t(6	19),collapsed,other,1881,172,0.09144072301967039,0.1610818573480134,1.8385483998057184e-18,-0.9319431216921703
C1,t(6	19),collapsed,adopted,1881,94,0.049973418394471024,0.0,0.0,15.682834959195132
C1,t(6	19),direction,retained,1881,1615,0.8585858585858586,0.8389181426519866,0.020254882138294596,0.22130721181145743
C1,t(6	19),direction,A_to_B,1881,172,0.09144072301967039,0.0938726663475347,0.7518306634723345,-0.04174893954626796
C1,t(6	19),direction,B_to_A,1881,94,0.049973418394471024,0.0672091910004787,0.0023365968088678293,-0.45393184159322486
